site_id,latitude,longitude,Lat,Long,Xkm,Ykm,waterbody_type,avg_eqr,mode_eqc,avg_eqc_num,observation_count,avg_eqc_cat
LTR1490,56.0376,22.0648,56.0376,22.0648,566.3433262441259,6210.775705973813,River,0.65,Moderate,4,2,Good
LTR1491,55.9964,22.5263,55.9964,22.5263,595.1966332191391,6206.730168403522,River,0.66,High,4,2,Good
LTR1492,56.0705004,24.08605114,56.0705004,24.08605114,692.0847554318422,6218.220002042931,River,0.50285,Moderate,3,4,Moderate
LTR1493,54.8088,24.3849,54.8088,24.3849,717.5130488020023,6078.768553479579,River,0.5066666666666667,Moderate,3,3,Moderate
LTR1494,54.58912585,23.35666016,54.58912585,23.35666016,652.2745694029243,6051.624257927505,River,0.6933333333333334,Moderate,4,3,Good
LTR1495,54.69142294,23.351075,54.69142294,23.351075,651.5327219956071,6062.991847729388,River,0.701775,Good,4,4,Good
LTR1496,56.0954,23.5741,56.0954,23.5741,660.1249712722483,6219.683582713649,River,0.56,Good,4,1,Good
LTR1497,56.32660754,23.49177954,56.32660754,23.49177954,654.0749998579772,6245.219995222121,River,0.68,Good,4,1,Good
LTR1498,56.3538,23.4218,56.3538,23.4218,649.6424306561602,6248.091100062893,River,0.55,Moderate,3,1,Moderate
LTR1499,55.1998,23.9071,55.1998,23.9071,685.0100470754547,6120.880808756863,River,0.68285,Good,4,4,Good
LTR150,54.6513,23.7014,54.6513,23.7014,674.2786616466932,6059.341654610748,River,0.72,Good,4,2,Good
LTR1500,55.28332389,24.17425705,55.28332389,24.17425705,701.5830466664721,6130.912006874132,River,0.6257,Moderate,4,2,Good
LTR1501,56.12842565,24.4519669,56.12842565,24.4519669,714.5280035468248,6225.741514117518,River,0.556075,Moderate,3,4,Moderate
LTR1502,55.92904294,24.29169596,55.92904294,24.29169596,705.6297620669419,6203.0773757555835,River,0.704275,Good,4,4,Good
LTR1503,55.2901,24.8654,55.2901,24.8654,745.4113038262981,6133.883568418346,River,0.7857,High,4,3,Good
LTR1504,55.1336,25.9698,55.1336,25.9698,816.7158101998062,6120.940292996904,River,0.7623666666666666,Good,4,3,Good
LTR1505,55.8233,25.3039,55.8233,25.3039,769.5546739668123,6194.795846104751,River,0.65785,High,4,4,Good
LTR1506,55.46012237,24.89760595,55.46012237,24.89760595,746.3949957995392,6152.903112095059,River,0.4286,Moderate,3,1,Moderate
LTR1507,55.77328936,24.26663329,55.77328936,24.26663329,704.883048681479,6185.678992101618,River,0.5885750000000001,Good,4,4,Good
LTR1508,55.75388058,21.69432177,55.75388058,21.69432177,543.5777323460039,6178.905982012014,River,0.58,Moderate,3,1,Moderate
LTR1509,54.9597,22.8378,54.9597,22.8378,617.6723054361894,6091.852261689363,River,0.6107,Moderate,4,2,Good
LTR151,54.09166298,24.59476207,54.09166298,24.59476207,735.0689478546947,5999.696277694881,River,0.7833333333333333,Good,4,3,Good
LTR1510,55.029,22.9604,55.029,22.9604,625.3050730530889,6099.775429701384,River,0.68,Good,4,1,Good
LTR1511,54.7522,22.7892,54.7522,22.7892,615.1505417697526,6068.685552233655,River,0.714275,Good,4,4,Good
LTR1512,54.8008,23.4112,54.8008,23.4112,654.9888005050616,6075.290587046578,River,0.6071333333333333,Good,4,3,Good
LTR1513,54.9465,25.6323,54.9465,25.6323,796.6055078164629,6098.662228422875,River,0.7150000000000001,Moderate,4,2,Good
LTR1514,55.9803,22.9509,55.9803,22.9509,621.7264689385863,6205.604979251168,River,0.63285,Moderate,4,6,Good
LTR1515,56.12143791,23.49995979,56.12143791,23.49995979,655.4091204941931,6222.410977547966,River,0.63686,Good,4,5,Good
LTR1516,55.5056,24.7826,55.5056,24.7826,738.8530066251228,6157.558494142979,River,0.7,High,4,2,Good
LTR1517,55.6175,24.414,55.6175,24.414,714.9757988265254,6168.798004217838,River,0.6433333333333333,High,4,3,Good
LTR1519,55.8257,24.0902,55.8257,24.0902,693.5609108933147,6191.000946901608,River,0.5233333333333333,Good,4,3,Good
LTR1520,55.2978,24.201,55.2978,24.201,703.2067324715339,6132.599804577071,River,0.54,Good,4,3,Good
LTR1521,55.1905,23.9679,55.1905,23.9679,688.9222479943107,6120.009355030413,River,0.4666666666666667,Moderate,3,3,Moderate
LTR1524,55.46035107,23.56808711,55.46035107,23.56808711,662.3711763142205,6149.019059815385,River,0.5800000000000001,Moderate,4,2,Good
LTR1525,55.1955,23.7089,55.1955,23.7089,672.4184289267614,6119.8945934637395,River,0.5966666666666667,Good,4,3,Good
LTR1526,55.1544,23.7196,55.1544,23.7196,673.277571678355,6115.349189300291,River,0.56,Good,4,2,Good
LTR1527,54.7643,23.0443,54.7643,23.0443,631.5270175696012,6070.480339557487,River,0.785,Good,4,2,Good
LTR1528,54.64707613,23.05156198,54.64707613,23.05156198,632.3754671822069,6057.4528404447465,River,0.59,Good,4,2,Good
LTR1529,54.8902435,22.90311737,54.8902435,22.90311737,622.0641298835924,6084.2365638707715,River,0.65,Good,4,1,Good
LTR1530,54.917,22.8005,54.917,22.8005,615.4065382447725,6087.039395262327,River,0.7,Good,4,1,Good
LTR1532,55.3182,23.4643,55.3182,23.4643,656.3707042198254,6132.967318405991,River,0.59,Moderate,4,2,Good
LTR1533,55.8506,22.9872,55.8506,22.9872,624.4057934770137,6191.237676692946,River,0.44,Moderate,3,1,Moderate
LTR1534,56.14109713,22.56693552,56.14109713,22.56693552,597.3654031120677,6222.889205436958,River,0.74,Good,4,1,Good
LTR1535,56.21286463,22.55787897,56.21286463,22.55787897,596.6222541257935,6230.863097435934,River,0.85,High,5,1,High
LTR1536,56.1397,21.5411,56.1397,21.5411,533.6252003105193,6221.759846535316,River,0.325,Moderate,2,2,Poor
LTR1537,56.256100000000004,21.6241,56.256100000000004,21.6241,538.6656732412179,6234.758528954125,River,0.76,Good,4,2,Good
LTR1538,56.13796231,22.10854207,56.13796231,22.10854207,568.8892256760292,6221.988006124168,River,0.54,Moderate,3,1,Moderate
LTR1539,56.3268,22.45,56.3268,22.45,589.6650569657077,6243.396812961823,River,0.47,Moderate,3,2,Moderate
LTR1540,56.2257,22.8479,56.2257,22.8479,614.5693502137889,6232.735803760835,River,0.53,Good,4,2,Good
LTR1541,56.2222,22.632,56.2222,22.632,601.1942996129502,6232.008348480426,River,0.72,Good,4,2,Good
LTR1542,55.736,24.9115,55.736,24.9115,745.5422088212524,6183.628978362496,River,0.615,Good,4,2,Good
LTR1543,55.738,24.6927,55.738,24.6927,731.8024803531836,6183.097411228299,River,0.79,High,5,2,High
LTR1544,55.8114,24.7395,55.8114,24.7395,734.2976298654477,6191.417549867187,River,0.5733333333333334,Good,4,3,Good
LTR1545,55.9671,24.1474,55.9671,24.1474,696.426296230779,6206.890752447536,River,0.5266666666666666,Moderate,3,3,Moderate
LTR1546,56.2461,24.1118,56.2461,24.1118,692.8048358277707,6237.825286130096,River,0.43,Moderate,3,1,Moderate
LTR1547,56.2486,23.172,56.2486,23.172,634.5797295483882,6235.869995800956,River,0.42,Moderate,3,1,Moderate
LTR1548,56.26707487,24.49299522,56.26707487,24.49299522,716.2944070305042,6241.290764747463,River,0.5046499999999999,Moderate,3,4,Moderate
LTR1549,55.7656,24.8694,55.7656,24.8694,742.7168637763766,6186.772035232051,River,0.5366666666666666,Moderate,3,3,Moderate
LTR155,54.1365,23.856,54.1365,23.856,686.5723186430151,6002.47864012673,River,0.6747666666666667,Good,4,3,Good
