site_code,eqr,eqc
LTR1534_2022,0.74,Good
LTR1535_2022,0.85,High
LTR1536_2010,,
LTR1536_2012,,
LTR1536_2016,0.38,Moderate
LTR1536_2019,0.27,Poor
LTR1537_2010,,
LTR1537_2012,,
LTR1537_2016,0.75,Good
LTR1537_2019,0.77,Good
LTR1538_2022,0.54,Moderate
LTR1539_2014,0.51,Moderate
LTR1539_2020,0.43,Moderate
LTR1540_2014,0.6,Good
LTR1540_2020,0.46,Moderate
LTR1541_2014,0.76,Good
LTR1541_2020,0.68,Good
LTR1542_2011,,
LTR1542_2014,0.79,Good
LTR1542_2020,0.44,Moderate
LTR1543_2011,,
LTR1543_2014,0.87,High
LTR1543_2020,0.71,High
LTR1544_2011,,
LTR1544_2014,0.64,Good
LTR1544_2017,0.42,Moderate
LTR1544_2020,0.66,Good
LTR1545_2011,,
LTR1545_2014,0.57,Moderate
LTR1545_2017,0.46,Moderate
LTR1545_2021,0.55,Good
LTR1546_2011,,
LTR1546_2020,0.43,Moderate
LTR1547_2011,,
LTR1547_2020,0.42,Moderate
LTR1548_2013,0.4286,Poor
LTR1548_2016,0.7,High
LTR1548_2019,0.48,Moderate
LTR1548_2022,0.41,Moderate
LTR1549_2011,,
LTR1549_2014,0.55,Moderate
LTR1549_2018,0.6,Good
LTR1549_2021,0.46,Moderate
LTR155_2010,,
LTR155_2013,0.7143,Good
LTR155_2016,0.75,High
LTR155_2020,0.56,Good
LTR1550_2011,,
LTR1550_2014,0.8,High
LTR1550_2017,0.49,Moderate
LTR1550_2020,0.53,Good
LTR1551_2011,,
LTR1551_2020,0.42,Moderate
LTR1552_2014,0.28,Poor
LTR1553_2019,0.45,Moderate
LTR1553_2022,0.45,Moderate
LTR1554_2011,,
LTR1556_2011,,
LTR1556_2014,0.66,Good
LTR1556_2021,0.55,Moderate
LTR1557_2011,,
LTR1557_2014,0.69,Good
LTR1557_2018,0.64,Good
LTR1557_2021,0.56,Good
LTR1558_2011,,
LTR1558_2014,0.7,Good
LTR1558_2017,0.46,Moderate
LTR1558_2020,0.69,Good
LTR1559_2011,,
LTR1559_2014,0.81,High
LTR1559_2018,0.64,Good
LTR1559_2021,0.49,Moderate
LTR1560_2011,,
LTR1560_2014,0.7,Good
LTR1561_2011,,
LTR1561_2014,0.84,High
LTR1561_2020,0.84,High
LTR1561_2023,,
LTR1562_2011,,
LTR1562_2014,0.66,Good
LTR1562_2017,0.5,Good
LTR1562_2021,0.51,Moderate
LTR1563_2011,,
LTR1563_2014,0.67,Good
LTR1563_2017,0.42,Moderate
LTR1563_2020,0.51,Moderate
LTR1564_2011,,
LTR1564_2014,0.58,Good
LTR1564_2020,0.62,Good
LTR1565_2011,,
LTR1565_2014,0.87,High
LTR1565_2017,0.62,Good
LTR1565_2020,0.67,Good
LTR1566_2011,,
LTR1566_2014,0.38,Poor
LTR1566_2017,0.44,Moderate
LTR1566_2020,0.42,Moderate
LTR1567_2011,,
LTR1567_2014,0.76,Good
LTR1567_2017,0.56,Moderate
LTR1567_2020,0.43,Moderate
LTR1568_2011,,
LTR1568_2014,0.44,Moderate
LTR1568_2017,0.36,Moderate
LTR1568_2021,0.35,Moderate
LTR1569_2011,,
LTR1569_2021,0.47,Moderate
LTR1570_2011,,
LTR1570_2021,0.56,Good
LTR1571_2011,,
LTR1571_2020,0.49,Moderate
LTR1572_2014,0.65,Good
LTR1572_2020,0.5,Good
LTR1573_2011,,
LTR1573_2014,0.74,Good
LTR1573_2020,0.65,Good
LTR1574_2011,,
LTR1574_2014,0.84,High
LTR1574_2017,0.66,Good
LTR1574_2020,0.66,Good
LTR1575_2012,,
LTR1575_2015,0.7,Good
LTR1575_2018,0.78,Good
LTR1575_2021,0.76,Good
LTR1576_2011,,
LTR1576_2015,0.55,Moderate
LTR1577_2012,,
LTR1577_2015,0.91,High
LTR1577_2018,0.96,High
LTR1577_2021,0.77,Good
LTR1578_2022,0.62,Good
LTR1579_2011,,
LTR1579_2020,0.4,Moderate
LTR1580_2011,,
LTR1580_2014,0.58,Moderate
LTR1580_2017,0.46,Moderate
LTR1580_2020,0.41,Moderate
LTR1581_2011,,
LTR1581_2014,0.54,Moderate
LTR1581_2017,0.45,Moderate
LTR1581_2020,0.45,Moderate
LTR1582_2011,,
LTR1582_2014,0.69,Good
LTR1582_2020,0.64,Good
LTR1582_2023,,
LTR1583_2011,,
LTR1583_2014,0.71,High
LTR1583_2018,0.57,Good
LTR1583_2021,0.57,Good
LTR1584_2017,0.44,Moderate
LTR1584_2021,0.49,Moderate
LTR1585_2017,0.55,Moderate
LTR1585_2022,0.69,Good
LTR1586_2017,0.68,Good
LTR1586_2022,0.55,Moderate
LTR1587_2017,0.57,Moderate
LTR1587_2022,0.54,Moderate
LTR1588_2018,0.58,Moderate
LTR1589_2017,0.53,Moderate
LTR1589_2022,0.54,Moderate
LTR1590_2017,0.73,Good
LTR1591_2020,0.66,Good
LTR1592_2017,0.41,Moderate
LTR1592_2020,0.42,Moderate
LTR1593_2021,0.52,Moderate
LTR1594_2017,0.5,Moderate
LTR1594_2021,0.49,Moderate
LTR1595_2020,0.44,Moderate
LTR1596_2020,0.53,Moderate
LTR1597_2020,0.45,Moderate
LTR1598_2020,0.43,Moderate
LTR1599_2017,0.38,Moderate
LTR1599_2020,0.45,Moderate
LTR16_2010,,
LTR16_2015,0.66,Good
LTR16_2019,0.81,High
LTR1600_2017,0.62,Good
LTR1600_2020,0.55,Moderate
LTR1601_2017,0.47,Moderate
